10	9	8	7	6	5	4	3	2	1	1.59953e-08	1	2	3	3.99998	4.99993	5.99983	6.99965	7.99936	8.9989	9.99822	10.9973	11.9961	12.9946	13.9927	14.9906	15.988	16.9852	17.9822	18.979	19.9758	20.9725	21.9693	22.9664	23.9637	24.9614	25.9594	26.9577	27.9565	28.9556	29.9551	29.5416	28.5426	27.5442	26.5464	25.5495	24.5535	23.5587	22.5653	21.5734	20.5835	19.5957	18.6104	17.6279	16.6487	15.6731	14.7019	13.7357	12.7757	11.823	10.8792	9.94651	9.02822	8.12922	7.25668	6.42142	5.64	4.93807	4.35424	3.94135	3.75619	3.83193	4.15433	4.6726	5.32991	6.08135	6.89621	7.75452	8.64336	9.5542	10.4813	11.4207	12.3696	13.326	14.2884	15.2556	16.2268	17.2012	18.1785	19.1581	20.1397	21.123	22.1079	23.094	24.0813	25.0696	26.0587	27.0487	28.0394	29.0307	30.0226	31.015	
8.8	9.8	9.2	8.2	7.2	6.2	5.2	4.2	3.2	2.2	1.2	0.200001	0.8	1.8	2.79999	3.79996	4.79989	5.79975	6.79951	7.79913	8.79856	9.79776	10.7967	11.7954	12.7938	13.7918	14.7896	15.787	16.7843	17.7815	18.7786	19.7756	20.7728	21.7701	22.7678	23.7657	24.764	25.7626	26.7615	27.7608	28.7604	28.5543	27.5556	26.5575	25.5602	24.5638	23.5685	22.5745	21.582	20.5913	19.6027	18.6166	17.6332	16.6531	15.6767	14.7047	13.7378	12.777	11.8237	10.8795	9.94677	9.02852	8.12956	7.25708	6.42187	5.64053	4.93869	4.35495	3.94213	3.75702	3.83275	4.15508	4.67327	5.33049	6.08185	6.89665	7.75491	8.6437	9.55451	10.4816	11.421	12.3699	13.3262	14.2886	15.2558	16.227	17.2014	18.1787	19.1583	20.1399	21.1232	22.108	23.0941	24.0814	25.0697	26.0589	27.0488	28.0395	29.0308	30.0227	31.0151	32.008	
7.6	8.6	9.6	9.4	8.4	7.4	6.4	5.4	4.4	3.4	2.4	1.4	0.4	0.600013	1.60002	2.60001	3.59997	4.59989	5.59973	6.59945	7.599	8.59836	9.59749	10.5964	11.595	12.5933	13.5914	14.5892	15.5868	16.5843	17.5817	18.5791	19.5766	20.5744	21.5723	22.5706	23.5691	24.5679	25.567	26.5665	27.5662	27.568	26.5696	25.5719	24.5751	23.5793	22.5848	21.5917	20.6003	19.6109	18.6239	17.6397	16.6587	15.6815	14.7085	13.7408	12.7792	11.8251	10.8803	9.94714	9.0288	8.12989	7.25746	6.42232	5.64105	4.93929	4.35564	3.94291	3.75784	3.83356	4.15583	4.67394	5.33108	6.08236	6.89709	7.7553	8.64405	9.55482	10.4819	11.4212	12.3701	13.3265	14.2888	15.256	16.2271	17.2016	18.1788	19.1584	20.14	21.1233	22.1081	23.0943	24.0815	25.0698	26.059	27.0489	28.0396	29.0309	30.0228	31.0152	32.0081	33.0014	
6.4	7.4	8.4	9.4	9.6	8.6	7.6	6.6	5.6	4.6	3.6	2.6	1.6	0.600027	0.4002	1.40015	2.40015	3.40014	4.40007	5.39991	6.39961	7.39915	8.3985	9.39764	10.3965	11.3952	12.3935	13.3917	14.3897	15.3876	16.3854	17.3832	18.381	19.3791	20.3774	21.3759	22.3747	23.3737	24.3731	25.3727	26.3725	26.5827	25.5847	24.5875	23.5913	22.5962	21.6026	20.6105	19.6204	18.6326	17.6475	16.6656	15.6874	14.7136	13.7449	12.7824	11.8274	10.8818	9.94796	9.02921	8.13021	7.25783	6.42275	5.64155	4.93988	4.35633	3.94368	3.75866	3.83437	4.15658	4.67461	5.33167	6.08288	6.89755	7.7557	8.6444	9.55514	10.4822	11.4215	12.3704	13.3267	14.289	15.2562	16.2273	17.2018	18.179	19.1586	20.1402	21.1235	22.1083	23.0944	24.0817	25.0699	26.0591	27.049	28.0397	29.031	30.0229	31.0153	32.0082	33.0015	33.9952	
5.2	6.2	7.2	8.2	9.2	9.8	8.8	7.8	6.8	5.8	4.8	3.8	2.8	1.80001	0.80017	0.201938	1.20069	2.20065	3.20066	4.20063	5.2005	6.20025	7.19985	8.19926	9.19847	10.1974	11.1962	12.1947	13.1931	14.1914	15.1896	16.1878	17.186	18.1845	19.1831	20.1819	21.181	22.1802	23.1798	24.1795	25.1794	25.5985	24.601	23.6044	22.6089	21.6147	20.6221	19.6313	18.6427	17.6568	16.6739	15.6948	14.72	13.7503	12.7869	11.8309	10.8844	9.94962	9.03011	8.13065	7.25819	6.42317	5.64205	4.94046	4.357	3.94444	3.75947	3.83517	4.15733	4.67527	5.33225	6.08339	6.898	7.7561	8.64476	9.55546	10.4824	11.4218	12.3706	13.3269	14.2892	15.2564	16.2275	17.2019	18.1792	19.1587	20.1403	21.1236	22.1084	23.0945	24.0818	25.07	26.0592	27.0492	28.0398	29.0311	30.023	31.0154	32.0083	33.0016	33.9953	34.9894	
4	5	6	7	8	9	10	9	8	7	6	5	4	3.00001	2.0001	1.00057	0.0506374	1.00239	2.00196	3.00192	4.00193	5.00188	6.00173	7.00143	8.00097	9.00031	9.99943	10.9984	11.9972	12.9959	13.9945	14.9932	15.9918	16.9906	17.9895	18.9887	19.988	20.9875	21.9872	22.987	23.987	24.6156	23.6186	22.6227	21.628	20.6349	19.6435	18.6543	17.6675	16.6838	15.7037	14.7279	13.7572	12.7927	11.8358	10.8881	9.9524	9.03194	8.13166	7.25869	6.42357	5.64252	4.94102	4.35765	3.94518	3.76026	3.83596	4.15807	4.67594	5.33284	6.08391	6.89845	7.75651	8.64512	9.55578	10.4827	11.422	12.3708	13.3271	14.2894	15.2566	16.2277	17.2021	18.1793	19.1589	20.1405	21.1238	22.1085	23.0947	24.0819	25.0702	26.0593	27.0493	28.0399	29.0312	30.0231	31.0155	32.0084	33.0017	33.9954	34.9895	35.9839	
2.80001	3.80001	4.80001	5.80001	6.8	7.8	8.8	9.8	9.2	8.2	7.2	6.2	5.2	4.20001	3.20008	2.20034	1.20145	0.216114	0.807123	1.80494	2.80458	3.80454	4.80455	5.80451	6.80436	7.80406	8.80358	9.80295	10.8022	11.8013	12.8004	13.7994	14.7985	15.7976	16.7969	17.7963	18.7959	19.7956	20.7954	21.7954	22.7954	23.6341	22.6378	21.6427	20.6491	19.6571	18.6673	17.6798	16.6952	15.7142	14.7374	13.7657	12.8001	11.8421	10.8934	9.95655	9.035	8.13369	7.25982	6.42414	5.64299	4.94157	4.35829	3.9459	3.76104	3.83674	4.1588	4.67659	5.33342	6.08442	6.89891	7.75691	8.64548	9.5561	10.483	11.4223	12.3711	13.3274	14.2896	15.2568	16.2279	17.2023	18.1795	19.159	20.1406	21.1239	22.1087	23.0948	24.082	25.0703	26.0594	27.0494	28.04	29.0313	30.0232	31.0156	32.0085	33.0018	33.9955	34.9896	35.9839	36.9786	
1.60002	2.60001	3.60001	4.60001	5.60001	6.60001	7.60001	8.6	9.6	9.4	8.4	7.4	6.4	5.40001	4.40007	3.40028	2.40092	1.40308	0.418413	0.619753	1.61117	2.60964	3.60925	4.60918	5.60919	6.60916	7.60903	8.60879	9.60844	10.608	11.6075	12.6069	13.6064	14.6058	15.6054	16.6051	17.6049	18.6047	19.6047	20.6047	21.6047	22.6046	21.6588	20.6647	19.6722	18.6817	17.6936	16.7083	15.7264	14.7487	13.7759	12.8093	11.8501	10.9003	9.96232	9.03959	8.13709	7.26209	6.42541	5.64363	4.94209	4.35891	3.9466	3.7618	3.8375	4.15951	4.67724	5.334	6.08493	6.89936	7.75731	8.64584	9.55643	10.4833	11.4226	12.3713	13.3276	14.2898	15.257	16.2281	17.2025	18.1797	19.1592	20.1407	21.124	22.1088	23.0949	24.0821	25.0704	26.0595	27.0495	28.0401	29.0314	30.0233	31.0157	32.0086	33.0019	33.9956	34.9896	35.984	36.9787	37.9737	
0.400076	1.40002	2.40002	3.40001	4.40001	5.40001	6.40001	7.40001	8.40001	9.40001	9.6	8.6	7.6	6.60001	5.60006	4.60024	3.60074	2.60203	1.60583	0.624796	0.45394	1.42334	2.4186	3.41712	4.41664	5.41652	6.41652	7.41652	8.41647	9.41636	10.4162	11.416	12.4157	13.4155	14.4154	15.4152	16.4152	17.4151	18.4151	19.4151	20.4151	21.4149	20.6818	19.6888	18.6978	17.7091	16.7231	15.7405	14.7618	13.788	12.8203	11.86	10.9091	9.9699	9.04596	8.1422	7.26591	6.42798	5.64508	4.94283	4.3595	3.94729	3.76254	3.83825	4.16022	4.67788	5.33457	6.08543	6.89981	7.75772	8.64621	9.55676	10.4836	11.4228	12.3716	13.3278	14.2901	15.2571	16.2282	17.2026	18.1798	19.1594	20.1409	21.1242	22.109	23.095	24.0823	25.0705	26.0597	27.0496	28.0403	29.0315	30.0234	31.0158	32.0087	33.002	33.9957	34.9897	35.9841	36.9788	37.9738	38.969	
0.800043	0.200189	1.20003	2.20002	3.20002	4.20001	5.20001	6.20001	7.20001	8.20001	9.20001	9.8	8.8	7.80001	6.80006	5.80023	4.80065	3.80164	2.80398	1.81015	0.834426	0.348714	1.24602	2.23359	3.22962	4.22805	5.22743	6.22721	7.22715	8.22714	9.22714	10.2271	11.2271	12.2271	13.2271	14.2271	15.2271	16.2271	17.227	18.2269	19.2268	20.2265	19.707	18.7155	17.7263	16.7397	15.7563	14.7769	13.8022	12.8334	11.872	10.9199	9.9795	9.05432	8.14928	7.27163	6.4323	5.648	4.94449	4.36034	3.94795	3.76325	3.83897	4.1609	4.6785	5.33512	6.08593	6.90025	7.75812	8.64657	9.55709	10.4839	11.4231	12.3718	13.328	14.2903	15.2573	16.2284	17.2028	18.18	19.1595	20.141	21.1243	22.1091	23.0952	24.0824	25.0706	26.0598	27.0497	28.0404	29.0317	30.0235	31.0159	32.0088	33.0021	33.9958	34.9898	35.9842	36.9789	37.9738	38.9691	39.9645	
